audio_id,audio_path,pipeline,reference_transcript,asr_transcript,expected_form_type,predicted_form_type,form_type_correct,expected_amount,predicted_amount,amount_correct,expected_currency,predicted_currency,currency_correct,expected_description,predicted_description,description_correct,description_match_method,description_overlap,field_accuracy,joint_system_accuracy,asr_latency_seconds,llm_latency_seconds,latency_seconds,error
11,D:\I5 internship\Prototype\data\test_audio\11.wav,wav2vec2,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,ខ្្ញុំចង់ requiest proutit expense ចំនួន 1ment dollars សម្រាប់ teng edntp0i0vel mិង fivel a0 cash pៅ mal dd ca sine tir,Project Expense Form,Project Expense Form,1,,,1,USD,,0,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Requesting project expense for an event travel.,0,manual_review,0.13333333333333333,0.5,0,1.1704560000216588,1.8952719999942929,3.0657280000159517,
11,D:\I5 internship\Prototype\data\test_audio\11.wav,whisper-small,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,ខ្ញុំចង់ request project expense ចំនួន សម្រាប់ enterprise server និងៃនេះ customer deposit,Project Expense Form,Project Expense Form,1,,,1,USD,,0,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Requesting a project expense for enterprise server and customer deposit.,0,manual_review,0.3333333333333333,0.5,0,3.9700396000407636,1.5694743000203744,5.539513900061138,
11,D:\I5 internship\Prototype\data\test_audio\11.wav,whisper-medium,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,ខ្ញុំចង់ request project expense ចំនួន 100 dollars សម្រាប់ enterprise server នៅប្បាហ៍ក្រ នៅង customer data center,Project Expense Form,Project Expense Form,1,,100,0,USD,dollars,1,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Requesting a project expense of 100 dollars for an enterprise server at Baborkor in the customer data center.,0,manual_review,0.4,0.5,0,13.096640200004913,2.9259917000308633,16.022631900035776,
12,D:\I5 internship\Prototype\data\test_audio\12.wav,wav2vec2,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,សើងខ្ញុំចង់ request met perell ចំនួន sm 0 dollar សម្រាប់ ting haet e0 spot euntinea ថ្ម0,Material Request Form,,0,,0,0,USD,dollar,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,entertainment,0,manual_review,0.0,0.25,0,0.9257381000206806,1.8938259999849834,2.819564100005664,
12,D:\I5 internship\Prototype\data\test_audio\12.wav,whisper-small,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,ខ្ញុំចង់ request material ចំនួន 30 dollars សម្រាប់ headset និង់ៗនេះ,Material Request Form,Material Request Form,1,,30,0,USD,dollars,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,Requesting material for a headset costing 30 dollars.,0,manual_review,0.18181818181818182,0.5,0,3.9133938999730162,2.0004979000077583,5.9138917999807745,
12,D:\I5 internship\Prototype\data\test_audio\12.wav,whisper-medium,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,ខ្ញុំចង់ request material ចំនួន 30 dollars សម្រាប់ headset ដែល support engineer ចំនេះៅោោោោោោ,Material Request Form,Material Request Form,1,,30,0,USD,dollars,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,Support engineer,0,manual_review,0.18181818181818182,0.5,0,13.522074799984694,2.7571467999950983,16.279221599979792,
13,D:\I5 internship\Prototype\data\test_audio\13.wav,wav2vec2,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,ខ្ញុំសុម័ត tereial request ចំនួន 10 dollarn សម្រាប់ teng ppin tetoៅ និង a fess0 pligs,Material Request Form,Material Request Form,1,,10,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,Employee requests 10 dollars for a printer and accessories.,0,manual_review,0.09090909090909091,0.5,0,0.9719099000212736,1.9358575000078417,2.9077674000291154,
13,D:\I5 internship\Prototype\data\test_audio\13.wav,whisper-small,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,ខ្ញុំសុំ និង request ចំនួន 100 dollars សម្រាប់ print toner និង office supplies,Material Request Form,Material Request Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,Request for print toner and office supplies,0,manual_review,0.36363636363636365,0.5,0,3.827027600025758,2.05318480002461,5.880212400050368,
13,D:\I5 internship\Prototype\data\test_audio\13.wav,whisper-medium,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,ខ្ញុំសុំ material request ចំនួន 100 dollars សម្រាប់ print or toner នៅប office supplies,Material Request Form,Material Request Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,print or toner,0,manual_review,0.09090909090909091,0.5,0,10.297108500031754,2.6119503999943845,12.909058900026139,
14,D:\I5 internship\Prototype\data\test_audio\14.wav,wav2vec2,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,ជួយ kri axn me tiyvill request ចំនួន 500 dollars សម្រាប់ 10nesa និង dok់ ing ting in 0 klit king tinear o,Material Request Form,Cash Advance Form,0,,500,0,USD,dollars,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request for a cash advance of 500 dollars for 10 days.,0,manual_review,0.07142857142857142,0.25,0,1.0242317999945953,1.7114892999525182,2.7357210999471135,
14,D:\I5 internship\Prototype\data\test_audio\14.wav,whisper-small,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,ចង់ create material request ចំនួន 500 dollars សម្រាប់ monitor និង់ station និង់ ingenief,Material Request Form,Material Request Form,1,,500,0,USD,dollars,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request to purchase materials including a monitor and station for 500 dollars.,0,manual_review,0.21428571428571427,0.5,0,3.6906896000145935,1.7852722000097856,5.475961800024379,
14,D:\I5 internship\Prototype\data\test_audio\14.wav,whisper-medium,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,ខ្ញុំត្រូវការ material request ចំនួន 500 dollars សម្រាប់ monitor នៅប parking station ដែល club engineer,Material Request Form,Material Request Form,1,,500,0,USD,dollars,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request for 500 dollars to purchase a monitor for the parking station of the club engineer.,0,manual_review,0.21428571428571427,0.5,0,11.990538500016555,2.5718844999792054,14.56242299999576,
15,D:\I5 internship\Prototype\data\test_audio\15.wav,wav2vec2,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,,Material Request Form,,0,,,0,USD,,0,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,,0,error,,0.0,0,0.0,0.0,0.0,"Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'detected': False, 'filtered': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'high'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}"
15,D:\I5 internship\Prototype\data\test_audio\15.wav,whisper-small,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,ខ្ញុំចង់ request hardware ចំនួន 54 dollars សម្រាប់ 50 lab device និង security team,Material Request Form,Material Request Form,1,,54,0,USD,USD,1,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,Requesting hardware for $54 to support 50 lab devices and the security team.,0,manual_review,0.25,0.5,0,3.586278700036928,1.69736400002148,5.283642700058408,
15,D:\I5 internship\Prototype\data\test_audio\15.wav,whisper-medium,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,ខ្ញុំចង់ request hardware ចំនួន 200 dollars សម្រាប់ 5 volt lab device ដែល security team,Material Request Form,Material Request Form,1,,200,0,USD,USD,1,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,For the security team,0,manual_review,0.16666666666666666,0.5,0,10.739441200043075,2.6021952999872155,13.34163650003029,
16,D:\I5 internship\Prototype\data\test_audio\16.wav,wav2vec2,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,ខ្ញុំសុំ mentirel request ចំនួន pampont dollarរ សម្រាប់ ting pest nve hat toknុង exntanel cestinglarp,Material Request Form,Material Request Form,1,,500,0,USD,dollar,1,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,external testing,0,manual_review,0.07692307692307693,0.5,0,0.7713191999937408,2.0596620999858715,2.8309812999796122,
16,D:\I5 internship\Prototype\data\test_audio\16.wav,whisper-small,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,ខ្ញុំសុំការអនុម័ត និង និង សម្រាប់ សប្រាប់ និង និង និង និង និង និង និង និង និង និង និង និង និង និង និង,Material Request Form,,0,,,1,USD,,0,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,The user is requesting approval but the purpose and details are unclear.,0,manual_review,0.0,0.25,0,8.474179299955722,2.4998430000268854,10.974022299982607,
16,D:\I5 internship\Prototype\data\test_audio\16.wav,whisper-medium,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,ខ្ញុំសុំ material request ចំនួន ចំព្នើ សម្រាប់ space civil park នៅនួយ internal testing lab,Material Request Form,Material Request Form,1,,,1,USD,,0,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,space civil park,0,manual_review,0.0,0.5,0,12.301882900006603,2.7693376000388525,15.071220500045456,
17,D:\I5 internship\Prototype\data\test_audio\17.wav,wav2vec2,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,ខ្ញុំចង់ rekest prineing ចំនួន 200 dollarst សម្រាប់ kolan kado0 uviuse ot0 e kessin t,Training Request Form,Material Request Form,0,,200,0,USD,dollars,1,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,Printing for a gift car,0,manual_review,0.0,0.25,0,0.8791526999557391,1.9620969999814406,2.8412496999371797,
17,D:\I5 internship\Prototype\data\test_audio\17.wav,whisper-small,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,ខ្ញុំចង់ request training ចំនួន 200 dollars សម្រាប់ និង AWS AWS certification,Training Request Form,Training,0,,200,0,USD,dollars,1,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,AWS certification,0,manual_review,0.25,0.25,0,3.5283705999609083,1.7276991999824531,5.256069799943361,
17,D:\I5 internship\Prototype\data\test_audio\17.wav,whisper-medium,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,ខ្ញុំចង់ request training ចំនួន 200 dollars សម្រាប់ AWS certification,Training Request Form,Training Request Form,1,,200,0,USD,dollars,1,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,AWS certification,0,manual_review,0.25,0.5,0,9.455498299968895,2.4217163999564946,11.87721469992539,
18,D:\I5 internship\Prototype\data\test_audio\18.wav,wav2vec2,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,ស្ះញុំសុំ សុ met trinneng request ចំនួន 500 dollarរ សម្រាប់ rian adskil admeness tritta kouu,Training Request Form,Training Request Form,1,,500,0,USD,dollar,1,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,admin skill learning,0,manual_review,0.0,0.5,0,0.9809098000405356,1.7486343000200577,2.7295441000605933,
18,D:\I5 internship\Prototype\data\test_audio\18.wav,whisper-small,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,ខ្ញុំសុំសុំ សមប្រាប់ training request ចំនួន 500 dollars សប្តាហ៍ក្រាប់ administrator cost,Training Request Form,Training,0,,500,0,USD,dollars,1,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,administrator cost,0,manual_review,0.1,0.25,0,4.755274299997836,1.6432093000039458,6.398483600001782,
18,D:\I5 internship\Prototype\data\test_audio\18.wav,whisper-medium,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,ខ្ញុំសុំ submit training request ចំនួន 500 dollars សម្រាប់ real estate administrator course,Training Request Form,Training,0,,500,0,USD,dollars,1,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,real estate administrator course,0,manual_review,0.2,0.25,0,9.35747019998962,2.4960281999665312,11.853498399956152,
19,D:\I5 internship\Prototype\data\test_audio\19.wav,wav2vec2,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,ខ្ញុំច់ request trineng exvance ចំនួន 10 pon dollars សម្រាប់ reapចង់ castmeclot mekrishin vualhop p,Training Request Form,Training Request Form,1,,10000,0,USD,dollars,1,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,reaction castmeclot mechanism workshop,0,manual_review,0.09090909090909091,0.5,0,1.0279919999884441,2.0268511999747716,3.0548431999632157,
19,D:\I5 internship\Prototype\data\test_audio\19.wav,whisper-small,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,ខ្ញុំចង់ request training event ចំនួន 14 dollars សម្រាប់ customer cloud migration workshop,Training Request Form,Training Request Form,1,,14,0,USD,dollars,1,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,customer cloud migration workshop,0,manual_review,0.36363636363636365,0.5,0,3.2582507000188343,1.813265299948398,5.071515999967232,
19,D:\I5 internship\Prototype\data\test_audio\19.wav,whisper-medium,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,ខ្ញុំចង់ request training event ចំនួន 100 dollars សម្រាប់ customer cloud migration workshop,Training Request Form,Training,0,,100,0,USD,dollars,1,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,customer cloud migration workshop,0,manual_review,0.36363636363636365,0.25,0,9.28315620002104,2.523602200031746,11.806758400052786,
20,D:\I5 internship\Prototype\data\test_audio\20.wav,wav2vec2,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,ជួយ p0osis trineng request ចំនួន b0pen dol lars សម្រាប់ sa0ben iil etytraineing e siki reiking tinnian tim g,Training Request Form,Training Request Form,1,,,1,USD,dollars,1,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,staff training and skill ranking,0,manual_review,0.08333333333333333,0.75,0,0.9973908999818377,1.936697999946773,2.9340888999286108,
20,D:\I5 internship\Prototype\data\test_audio\20.wav,whisper-small,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,ចង់ process training request ចុំនួន សប្រាប់ cybersecurity training នប់ity្រាប់ៗនេះ,Training Request Form,Training,0,,,1,USD,,0,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,Request to process a training request for cybersecurity training.,0,manual_review,0.3333333333333333,0.25,0,3.884439999994356,1.844825500040315,5.729265500034671,
20,D:\I5 internship\Prototype\data\test_audio\20.wav,whisper-medium,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,ខ្ញុំពេញ training request ចំនួន 300 dollars សម្រាប់ cybersecurity training ដែី security engineer team,Training Request Form,Training,0,,300,0,USD,dollars,1,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,cybersecurity training for the security engineer team,0,manual_review,0.4166666666666667,0.25,0,10.101457799959462,2.516292500018608,12.61775029997807,
